episode,total_reward
0,-462.9599157927933
1,-159.13629669484376
2,-66.95991579279331
3,-439.60867865383534
4,-431.3078695700975
5,-173.1220113449709
6,-442.8236190979496
7,-37.13629669484372
8,-321.13629669484374
9,-175.96472381958992
10,-421.13629669484374
11,-440.1362966948437
12,-38.95991579279331
13,-154.9599157927933
14,-156.96472381958992
15,-58.9599157927933
16,-47.101020514433635
17,-65.95991579279331
18,-238.29497015485057
19,-66.13629669484372
20,-46.95991579279331
21,-158.13629669484374
22,-65.13629669484372
23,-49.10102051443364
24,-46.9599157927933
25,-68.95991579279331
26,-47.95991579279331
27,-155.95991579279334
28,-61.50510257216821
29,-58.96472381958992
30,-61.646207293808544
31,-258.2949701548506
32,-43.101020514433635
33,-344.6462072938085
34,-65.30786957009754
35,-255.10102051443366
36,-56.9599157927933
37,-57.10102051443364
38,-59.646207293808544
39,-73.64620729380854
40,-65.99519197320339
41,-183.94563044292047
42,-76.95991579279331
43,-73.50510257216821
44,-149.8177801690624
45,-351.15386543321034
46,-60.13629669484373
47,-362.60867865383534
48,-84.95991579279331
49,-76.95991579279331
50,-78.95991579279331
51,-76.95991579279331
52,-166.9599157927933
53,-76.95991579279331
54,-65.50510257216821
55,-174.9599157927933
56,-76.95991579279331
57,-71.99519197320339
58,-76.95991579279331
59,-76.95991579279331
60,-76.95991579279331
61,-261.60867865383534
62,-58.95991579279331
63,-84.95991579279331
64,-67.95991579279331
65,-155.9599157927933
66,-59.646207293808544
67,-382.98090662333055
68,-63.646207293808544
69,-48.10102051443364
70,-56.95991579279331
71,-55.13629669484372
72,-439.13629669484374
73,-64.95991579279331
74,-35.50510257216822
75,-67.95991579279331
76,-339.9599157927933
77,-65.95991579279331
78,-61.13629669484372
79,-37.13629669484372
80,-68.95991579279331
81,-40.646207293808544
82,-55.96472381958991
83,-46.95991579279331
84,-59.646207293808544
85,-64.95991579279331
86,-157.96472381958992
87,-177.10102051443366
88,-349.9599157927933
89,-56.08673516456081
90,-85.13629669484372
91,-144.9599157927933
92,-46.9599157927933
93,-167.9599157927933
94,-49.646207293808544
95,-36.13629669484372
96,-37.101020514433635
97,-66.95991579279331
98,-54.9599157927933
99,-252.95991579279334
100,-35.646207293808544
101,-38.101020514433635
102,-86.98090662333055
103,-75.95991579279331
104,-62.788342917539495
105,-37.101020514433635
106,-145.9599157927933
107,-350.9599157927933
108,-372.1362966948437
109,-50.13629669484372
110,-65.95991579279331
111,-334.6462072938085
112,-145.0
113,-136.13629669484374
114,-65.95991579279331
115,-37.101020514433635
116,-172.7883429175395
117,-272.43710577858155
118,-36.13629669484372
119,-86.95991579279331
120,-54.9599157927933
121,-56.9599157927933
122,-48.95991579279331
123,-138.64620729380854
124,-56.9599157927933
125,-69.50510257216821
126,-38.788342917539495
127,-48.9599157927933
128,-56.13629669484372
129,-75.13629669484372
130,-47.101020514433635
131,-45.9599157927933
132,-56.95991579279331
133,-64.95991579279331
134,-57.13629669484372
135,-375.8236190979495
136,-134.13148866804713
137,-60.788342917539495
138,-46.13629669484373
139,-37.9599157927933
140,-168.64620729380854
141,-72.64620729380854
142,-55.13629669484372
143,-145.13629669484374
144,-154.13629669484376
145,-361.95991579279325
146,-66.13629669484372
147,-57.9599157927933
148,-223.60867865383534
149,-156.9599157927933
150,-74.95991579279331
151,-56.95991579279331
152,-243.4675739321951
153,-245.60867865383534
154,-36.95991579279331
155,-54.95991579279331
156,-54.9599157927933
157,-76.95991579279331
158,-46.13629669484372
159,-155.95991579279334
160,-259.60867865383534
161,-645.6086786538353
162,-45.30786957009754
163,-56.9599157927933
164,-181.5051025721682
165,-47.101020514433635
166,-49.9599157927933
167,-76.95991579279331
168,-75.13629669484372
169,-46.9599157927933
170,-45.13148866804711
171,-57.9599157927933
172,-249.5051025721682
173,-361.9599157927933
174,-66.95991579279331
175,-56.95991579279331
176,-371.95991579279325
177,-349.9599157927933
178,-47.101020514433635
179,-174.9599157927933
180,-155.95991579279334
181,-50.95991579279331
182,-251.4675739321951
183,-57.13148866804711
184,-76.95991579279331
185,-274.9599157927933
186,-76.95991579279331
187,-67.95991579279331
188,-246.82361909794957
189,-86.95991579279331
190,-56.9599157927933
191,-46.95991579279331
192,-56.9599157927933
193,-56.13148866804712
