run-id,episode,total_reward,avg_reward,avg_waiting_time,epsilon,lr,gamma
policy_v1,0,-744.6087,-31.0254,31.0254,0.3,0.1,0.95
policy_v1,1,-272.7883,-11.3662,11.3662,0.2997,0.1,0.95
policy_v1,2,-259.1363,-10.7973,10.7973,0.2994,0.1,0.95
policy_v1,3,-252.4676,-10.5195,10.5195,0.2991,0.1,0.95
policy_v1,4,-358.9456,-14.9561,14.9561,0.2988,0.1,0.95
policy_v1,5,-646.6087,-26.942,26.942,0.2985,0.1,0.95
policy_v1,6,-439.0867,-18.2953,18.2953,0.2982,0.1,0.95
policy_v1,7,-341.9599,-14.2483,14.2483,0.2979,0.1,0.95
policy_v1,8,-135.0,-5.625,5.625,0.2976,0.1,0.95
policy_v1,9,-420.1363,-17.5057,17.5057,0.2973,0.1,0.95
policy_v1,10,-378.6391,-15.7766,15.7766,0.297,0.1,0.95
policy_v1,11,-850.9809,-35.4575,35.4575,0.2967,0.1,0.95
policy_v1,12,-255.6297,-10.6512,10.6512,0.2964,0.1,0.95
policy_v1,13,-62.1172,-2.5882,2.5882,0.2961,0.1,0.95
policy_v1,14,-165.9647,-6.9152,6.9152,0.2958,0.1,0.95
policy_v1,15,-545.296,-22.7207,22.7207,0.2955,0.1,0.95
policy_v1,16,-627.4724,-26.1447,26.1447,0.2952,0.1,0.95
policy_v1,17,-242.7803,-10.1158,10.1158,0.2949,0.1,0.95
policy_v1,18,-264.9599,-11.04,11.04,0.2946,0.1,0.95
policy_v1,19,-360.9599,-15.04,15.04,0.2943,0.1,0.95
policy_v1,20,-42.8188,-1.7841,1.7841,0.294,0.1,0.95
policy_v1,21,-64.9599,-2.7067,2.7067,0.2937,0.1,0.95
policy_v1,22,-159.8188,-6.6591,6.6591,0.2934,0.1,0.95
policy_v1,23,-550.1363,-22.9223,22.9223,0.2931,0.1,0.95
policy_v1,24,-534.4676,-22.2695,22.2695,0.2928,0.1,0.95
policy_v1,25,-56.9599,-2.3733,2.3733,0.2925,0.1,0.95
policy_v1,26,-145.9599,-6.0817,6.0817,0.2922,0.1,0.95
policy_v1,27,-58.9599,-2.4567,2.4567,0.2919,0.1,0.95
policy_v1,28,-67.1363,-2.7973,2.7973,0.2916,0.1,0.95
policy_v1,29,-176.9599,-7.3733,7.3733,0.2913,0.1,0.95
policy_v1,30,-266.6462,-11.1103,11.1103,0.291,0.1,0.95
policy_v1,31,-47.9599,-1.9983,1.9983,0.2907,0.1,0.95
policy_v1,32,-174.8188,-7.2841,7.2841,0.2904,0.1,0.95
policy_v1,33,-470.9599,-19.6233,19.6233,0.2901,0.1,0.95
policy_v1,34,-263.6087,-10.9837,10.9837,0.2898,0.1,0.95
policy_v1,35,-191.7883,-7.9912,7.9912,0.2895,0.1,0.95
policy_v1,36,-175.9599,-7.3317,7.3317,0.2892,0.1,0.95
policy_v1,37,-194.9599,-8.1233,8.1233,0.2889,0.1,0.95
policy_v1,38,-159.1363,-6.6307,6.6307,0.2886,0.1,0.95
policy_v1,39,-84.9599,-3.54,3.54,0.2883,0.1,0.95
policy_v1,40,-76.9599,-3.2067,3.2067,0.288,0.1,0.95
policy_v1,41,-640.6462,-26.6936,26.6936,0.2877,0.1,0.95
policy_v1,42,-741.9599,-30.915,30.915,0.2874,0.1,0.95
policy_v1,43,-540.4724,-22.5197,22.5197,0.2871,0.1,0.95
policy_v1,44,-168.6462,-7.0269,7.0269,0.2868,0.1,0.95
policy_v1,45,-265.1315,-11.0471,11.0471,0.2865,0.1,0.95
policy_v1,46,-148.9952,-6.2081,6.2081,0.2862,0.1,0.95
policy_v1,47,-361.9599,-15.0817,15.0817,0.2859,0.1,0.95
policy_v1,48,-356.6462,-14.8603,14.8603,0.2856,0.1,0.95
policy_v1,49,-170.5051,-7.1044,7.1044,0.2853,0.1,0.95
policy_v1,50,-67.9647,-2.8319,2.8319,0.285,0.1,0.95
policy_v1,51,-244.1539,-10.1731,10.1731,0.2847,0.1,0.95
policy_v1,52,-460.9599,-19.2067,19.2067,0.2844,0.1,0.95
policy_v1,53,-443.4371,-18.4765,18.4765,0.2841,0.1,0.95
policy_v1,54,-55.1363,-2.2973,2.2973,0.2838,0.1,0.95
policy_v1,55,-78.9456,-3.2894,3.2894,0.2835,0.1,0.95
policy_v1,56,-155.9599,-6.4983,6.4983,0.2832,0.1,0.95
policy_v1,57,-136.1363,-5.6723,5.6723,0.2829,0.1,0.95
policy_v1,58,-433.1363,-18.0473,18.0473,0.2826,0.1,0.95
policy_v1,59,-56.9599,-2.3733,2.3733,0.2823,0.1,0.95
policy_v1,60,-557.9599,-23.2483,23.2483,0.282,0.1,0.95
policy_v1,61,-153.9456,-6.4144,6.4144,0.2817,0.1,0.95
policy_v1,62,-638.1363,-26.589,26.589,0.2814,0.1,0.95
policy_v1,63,-342.9599,-14.29,14.29,0.2811,0.1,0.95
policy_v1,64,-47.101,-1.9625,1.9625,0.2808,0.1,0.95
policy_v1,65,-245.8236,-10.2427,10.2427,0.2805,0.1,0.95
policy_v1,66,-56.9599,-2.3733,2.3733,0.2802,0.1,0.95
policy_v1,67,-450.1315,-18.7555,18.7555,0.2799,0.1,0.95
policy_v1,68,-262.6087,-10.942,10.942,0.2796,0.1,0.95
policy_v1,69,-235.9599,-9.8317,9.8317,0.2793,0.1,0.95
policy_v1,70,-37.101,-1.5459,1.5459,0.279,0.1,0.95
policy_v1,71,-153.9599,-6.415,6.415,0.2787,0.1,0.95
policy_v1,72,-75.9599,-3.165,3.165,0.2784,0.1,0.95
policy_v1,73,-154.1315,-6.4221,6.4221,0.2781,0.1,0.95
policy_v1,74,-157.1315,-6.5471,6.5471,0.2778,0.1,0.95
policy_v1,75,-361.1315,-15.0471,15.0471,0.2775,0.1,0.95
policy_v1,76,-150.9599,-6.29,6.29,0.2772,0.1,0.95
policy_v1,77,-275.9599,-11.4983,11.4983,0.2769,0.1,0.95
policy_v1,78,-76.9599,-3.2067,3.2067,0.2766,0.1,0.95
policy_v1,79,-352.1539,-14.6731,14.6731,0.2763,0.1,0.95
policy_v1,80,-559.9599,-23.3317,23.3317,0.276,0.1,0.95
policy_v1,81,-273.1315,-11.3805,11.3805,0.2757,0.1,0.95
policy_v1,82,-461.9599,-19.2483,19.2483,0.2754,0.1,0.95
policy_v1,83,-74.9599,-3.1233,3.1233,0.2751,0.1,0.95
policy_v1,84,-192.9456,-8.0394,8.0394,0.2748,0.1,0.95
policy_v1,85,-69.1363,-2.8807,2.8807,0.2745,0.1,0.95
policy_v1,86,-254.6087,-10.6087,10.6087,0.2742,0.1,0.95
policy_v1,87,-75.9599,-3.165,3.165,0.2739,0.1,0.95
policy_v1,88,-56.9599,-2.3733,2.3733,0.2736,0.1,0.95
policy_v1,89,-58.9599,-2.4567,2.4567,0.2733,0.1,0.95
policy_v1,90,-164.9599,-6.8733,6.8733,0.273,0.1,0.95
policy_v1,91,-536.6087,-22.3587,22.3587,0.2727,0.1,0.95
policy_v1,92,-260.5944,-10.8581,10.8581,0.2724,0.1,0.95
policy_v1,93,-564.4676,-23.5195,23.5195,0.2721,0.1,0.95
policy_v1,94,-161.8188,-6.7425,6.7425,0.2718,0.1,0.95
policy_v1,95,-342.1363,-14.2557,14.2557,0.2715,0.1,0.95
policy_v1,96,-143.9599,-5.9983,5.9983,0.2712,0.1,0.95
