run-id,episode,total_reward,avg_reward,avg_waiting_time,epsilon,lr,gamma
policy_v2_explored,0,-360.9599,-15.04,15.04,0.1,0.05,0.99
policy_v2_explored,1,-59.1363,-2.464,2.464,0.09995,0.05,0.99
policy_v2_explored,2,-76.9599,-3.2067,3.2067,0.0999,0.05,0.99
policy_v2_explored,3,-634.1163,-26.4215,26.4215,0.09985,0.05,0.99
policy_v2_explored,4,-357.122,-14.8801,14.8801,0.0998,0.05,0.99
policy_v2_explored,5,-45.3079,-1.8878,1.8878,0.09975,0.05,0.99
policy_v2_explored,6,-334.9647,-13.9569,13.9569,0.0997,0.05,0.99
policy_v2_explored,7,-136.101,-5.6709,5.6709,0.09965,0.05,0.99
policy_v2_explored,8,-39.1363,-1.6307,1.6307,0.0996,0.05,0.99
policy_v2_explored,9,-429.1163,-17.8798,17.8798,0.09955,0.05,0.99
policy_v2_explored,10,-154.1363,-6.4223,6.4223,0.0995,0.05,0.99
policy_v2_explored,11,-55.9647,-2.3319,2.3319,0.09945,0.05,0.99
policy_v2_explored,12,-322.101,-13.4209,13.4209,0.0994,0.05,0.99
policy_v2_explored,13,-37.9599,-1.5817,1.5817,0.09935,0.05,0.99
policy_v2_explored,14,-51.5051,-2.146,2.146,0.0993,0.05,0.99
policy_v2_explored,15,-374.9599,-15.6233,15.6233,0.09925,0.05,0.99
policy_v2_explored,16,-47.101,-1.9625,1.9625,0.0992,0.05,0.99
policy_v2_explored,17,-351.9599,-14.665,14.665,0.09915,0.05,0.99
policy_v2_explored,18,-91.9456,-3.8311,3.8311,0.0991,0.05,0.99
policy_v2_explored,19,-432.1363,-18.0057,18.0057,0.09905,0.05,0.99
policy_v2_explored,20,-341.1363,-14.214,14.214,0.099,0.05,0.99
policy_v2_explored,21,-335.295,-13.9706,13.9706,0.09895,0.05,0.99
policy_v2_explored,22,-46.9599,-1.9567,1.9567,0.0989,0.05,0.99
policy_v2_explored,23,-156.9647,-6.5402,6.5402,0.09885,0.05,0.99
policy_v2_explored,24,-443.6087,-18.4837,18.4837,0.0988,0.05,0.99
policy_v2_explored,25,-244.6087,-10.192,10.192,0.09875,0.05,0.99
policy_v2_explored,26,-48.9599,-2.04,2.04,0.0987,0.05,0.99
policy_v2_explored,27,-167.7883,-6.9912,6.9912,0.09865,0.05,0.99
policy_v2_explored,28,-443.101,-18.4625,18.4625,0.0986,0.05,0.99
policy_v2_explored,29,-52.9599,-2.2067,2.2067,0.09855,0.05,0.99
policy_v2_explored,30,-50.6462,-2.1103,2.1103,0.0985,0.05,0.99
policy_v2_explored,31,-66.9599,-2.79,2.79,0.09845,0.05,0.99
policy_v2_explored,32,-65.9599,-2.7483,2.7483,0.0984,0.05,0.99
policy_v2_explored,33,-49.6462,-2.0686,2.0686,0.09835,0.05,0.99
